ticker,company_name,sector,industry,exchange,quoteType,price_rows,price_min_date,price_max_date,coverage_pct,starts_in_2019,ends_in_2023,full_coverage,news_count,news_min_date,news_max_date
LIQT,"LiqTech International, Inc.",Industrials,Pollution & Treatment Controls,NCM,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,211,2019-01-02 00:00:00,2023-05-26 00:00:00
FHI,"Federated Hermes, Inc.",Financial Services,Asset Management,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,211,2020-02-04 00:00:00,2023-12-16 09:00:00
ALRM,"Alarm.com Holdings, Inc.",Technology,Software - Application,NMS,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,211,2019-01-02 00:00:00,2023-12-16 20:00:00
BRZU,Direxion Daily MSCI Brazil Bull 2X Shares,,,PCX,ETF,1257,2019-01-02,2023-12-28,96.4,True,True,True,211,2019-01-02 00:00:00,2023-09-19 00:00:00
TGS,Transportadora de Gas del Sur S.A.,Energy,Oil & Gas Integrated,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,211,2019-01-14 00:00:00,2023-12-16 21:00:00
HHS,"Harte Hanks, Inc.",Industrials,Conglomerates,NGM,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,210,2019-01-02 00:00:00,2023-12-04 00:00:00
AMBC,"Octave Specialty Group, Inc.",Financial Services,Insurance - Specialty,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,210,2019-01-02 00:00:00,2023-12-13 00:00:00
EQH,"Equitable Holdings, Inc.",Financial Services,Asset Management,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,210,2019-02-28 00:00:00,2023-12-11 00:00:00
FMNB,Farmers National Banc Corp.,Financial Services,Banks - Regional,NCM,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,209,2019-01-23 00:00:00,2023-12-13 00:00:00
BBH,VanEck Biotech ETF,,,NGM,ETF,1257,2019-01-02,2023-12-28,96.4,True,True,True,209,2019-01-02 00:00:00,2023-12-08 00:00:00
DON,WisdomTree U.S. MidCap Dividend Fund,,,PCX,ETF,1257,2019-01-02,2023-12-28,96.4,True,True,True,208,2019-01-11 00:00:00,2023-12-12 00:00:00
FXL,First Trust Technology AlphaDEX Fund,,,PCX,ETF,1257,2019-01-02,2023-12-28,96.4,True,True,True,208,2019-01-02 00:00:00,2023-12-12 00:00:00
HBIO,"Harvard Bioscience, Inc.",Healthcare,Medical Instruments & Supplies,NCM,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,208,2019-01-24 00:00:00,2023-08-08 00:00:00
NRIM,"Northrim BanCorp, Inc.",Financial Services,Banks - Regional,NMS,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,208,2019-01-04 00:00:00,2023-12-06 00:00:00
JOUT,Johnson Outdoors Inc.,Consumer Cyclical,Leisure,NMS,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,208,2019-01-08 00:00:00,2020-05-29 00:00:00
BIOL,"Biolase, Inc.",Healthcare,Medical Devices,NGM,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,207,2019-01-29 00:00:00,2023-12-08 00:00:00
CHMG,Chemung Financial Corporation,Financial Services,Banks - Regional,NMS,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,207,2019-01-18 00:00:00,2023-12-13 00:00:00
FSBW,"FS Bancorp, Inc.",Financial Services,Banks - Regional,NCM,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,207,2019-01-17 00:00:00,2023-12-04 00:00:00
