ticker,company_name,sector,industry,exchange,quoteType,price_rows,price_min_date,price_max_date,coverage_pct,starts_in_2019,ends_in_2023,full_coverage,news_count,news_min_date,news_max_date
GPRK,GeoPark Limited,Energy,Oil & Gas E&P,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,226,2019-01-02,2023-12-16
NVMI,Nova Ltd.,Technology,Semiconductor Equipment & Materials,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,226,2019-01-24,2023-12-14
LOGI,Logitech International S.A.,Technology,Computer Hardware,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,226,2019-01-03,2023-12-15
BLIN,"Bridgeline Digital, Inc.",Technology,Software - Infrastructure,NCM,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,225,2019-01-02,2023-12-07
AGRO,Adecoagro S.A.,Consumer Defensive,Farm Products,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,225,2019-01-16,2023-12-16
GRFS,"Grifols, S.A.",Healthcare,Drug Manufacturers - General,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,225,2019-01-08,2023-12-11
BWXT,"BWX Technologies, Inc.",Industrials,Aerospace & Defense,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,224,2019-01-04,2023-12-15
MTZ,"MasTec, Inc.",Industrials,Engineering & Construction,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,224,2019-01-02,2023-12-16
HIMX,"Himax Technologies, Inc.",Technology,Semiconductors,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,223,2019-01-11,2023-12-14
WTI,"W&T Offshore, Inc.",Energy,Oil & Gas E&P,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,222,2019-01-07,2023-12-12
AGM,Federal Agricultural Mortgage Corporation,Financial Services,Credit Services,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,222,2019-01-06,2023-12-16
FET,"Forum Energy Technologies, Inc.",Energy,Oil & Gas Equipment & Services,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,221,2019-01-13,2023-05-17
PLUS,ePlus inc.,Technology,Software - Application,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,221,2019-01-02,2023-10-06
CAMP,CAMP4 THERAPEUTICS CORPORATION,Healthcare,Biotechnology,NGM,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,221,2019-01-08,2023-10-09
PUK,Prudential plc,Financial Services,Insurance - Life,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,221,2019-01-02,2023-12-08
IBP,"Installed Building Products, Inc.",Consumer Cyclical,Residential Construction,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,221,2019-01-11,2023-12-16
PRA,ProAssurance Corporation,Financial Services,Insurance - Property & Casualty,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,221,2019-01-07,2023-12-08
OFIX,Orthofix Medical Inc.,Healthcare,Medical Devices,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,221,2019-01-08,2023-12-11
CADE,Cadence Bank,Financial Services,Banks - Regional,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,220,2019-01-21,2023-12-16
FFBC,First Financial Bancorp.,Financial Services,Banks - Regional,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,219,2019-01-04,2023-11-28
AKR,Acadia Realty Trust,Real Estate,REIT - Retail,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,219,2019-01-09,2023-12-06
BANC,"Banc of California, Inc.",Financial Services,Banks - Regional,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,219,2019-01-17,2023-12-13
HNI,HNI Corporation,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,219,2019-01-03,2023-12-08
DLNG,Dynagas LNG Partners LP,Energy,Oil & Gas Midstream,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,218,2019-01-03,2023-12-08
ATEC,"Alphatec Holdings, Inc.",Healthcare,Medical Devices,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,218,2019-01-07,2023-10-27
PFBC,Preferred Bank,Financial Services,Banks - Regional,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,217,2019-01-03,2023-12-13
AHH,"Armada Hoffler Properties, Inc.",Real Estate,REIT - Diversified,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,217,2019-01-08,2023-11-02
LII,Lennox International Inc.,Industrials,Building Products & Equipment,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,217,2019-01-04,2023-12-16
PAM,Pampa Energía S.A.,Utilities,Utilities - Independent Power Producers,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,217,2019-01-03,2023-11-28
WSR,Whitestone REIT,Real Estate,REIT - Retail,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,217,2019-01-04,2023-12-13
PT,J and Friends Holdings Limited,Financial Services,Credit Services,NGM,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,217,2019-02-01,2023-09-27
AXGN,"Axogen, Inc.",Healthcare,Medical Devices,NCM,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,217,2019-01-07,2023-11-02
CALA,"Calithera Biosciences, Inc.",Financial Services,Shell Companies,PNK,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,216,2019-01-07,2023-01-09
CIB,Grupo Cibest S.A.,Financial Services,Banks - Regional,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,216,2019-01-10,2023-11-22
OESX,"Orion Energy Systems, Inc.",Industrials,Electrical Equipment & Parts,NCM,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,216,2019-01-11,2023-11-27
PRAA,"PRA Group, Inc.",Financial Services,Credit Services,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,215,2019-02-21,2023-12-16
AFMD,Affimed N.V.,,,NGM,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,215,2019-01-03,2023-10-25
ASRT,"Assertio Holdings, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,NCM,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,215,2019-01-18,2023-11-09
TRMK,Trustmark Corporation,Financial Services,Banks - Regional,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,215,2019-01-07,2023-12-16
FRME,First Merchants Corporation,Financial Services,Banks - Regional,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,214,2019-01-24,2023-12-13
PRQR,ProQR Therapeutics N.V.,Healthcare,Biotechnology,NCM,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,213,2019-01-02,2023-11-08
NWS,News Corporation,Communication Services,Entertainment,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,213,2019-01-13,2023-11-13
REI,"Ring Energy, Inc.",Energy,Oil & Gas E&P,ASE,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,213,2019-01-07,2023-10-04
ATEN,"A10 Networks, Inc.",Technology,Software - Infrastructure,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,213,2019-01-08,2023-11-14
VVV,Valvoline Inc.,Consumer Cyclical,Auto & Truck Dealerships,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,213,2019-01-16,2023-12-08
AWR,American States Water Company,Utilities,Utilities - Regulated Water,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,213,2019-01-02,2023-12-16
SPRO,"Spero Therapeutics, Inc.",Healthcare,Biotechnology,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,212,2019-01-07,2023-11-27
APTO,"Aptose Biosciences, Inc.",,,NGM,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,212,2019-01-02,2023-08-02
EGRX,"Eagle Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,PNK,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,212,2019-02-14,2023-11-29
KELYA,"Kelly Services, Inc.",Industrials,Staffing & Employment Services,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,211,2019-01-08,2023-11-29
ALRM,"Alarm.com Holdings, Inc.",Technology,Software - Application,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,211,2019-01-02,2023-12-16
CGEN,Compugen Ltd.,Healthcare,Biotechnology,NCM,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,211,2019-01-14,2023-12-16
LNT,Alliant Energy Corporation,Utilities,Utilities - Regulated Electric,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,211,2019-01-11,2023-12-16
ATOS,"Atossa Therapeutics, Inc.",Healthcare,Biotechnology,NCM,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,211,2019-01-09,2023-12-11
FHI,"Federated Hermes, Inc.",Financial Services,Asset Management,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,211,2020-02-04,2023-12-16
UTL,Unitil Corporation,Utilities,Utilities - Diversified,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,210,2019-01-03,2023-12-13
BVN,Compañía de Minas Buenaventura S.A.A.,Basic Materials,Other Precious Metals & Mining,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,210,2019-01-04,2023-12-15
EQH,"Equitable Holdings, Inc.",Financial Services,Asset Management,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,210,2019-02-28,2023-12-11
AMTX,"Aemetis, Inc.",Basic Materials,Specialty Chemicals,NGM,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,210,2019-01-08,2023-10-30
EXK,Endeavour Silver Corp.,Basic Materials,Silver,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,209,2019-01-07,2023-12-05
